Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	turnover
280	-8116.476	-7726.243	-390.2323	2.906241	0.273435	0.7613869	0.4814095	13	4.241268	0.2298008	0.381876	0.726201	1.08201	1.80991	1.242796	1.0345	0.208169	0.0576993	0.11364	0.306995	0.693797	0.575037	0.19135	0.688422	0.417022	0.483841	0.0232658	0.964849	0.174709	0.00976495	0.521473	0.685672	0.381947	0.628254	0.467556	0.317285	0.369009	0.0268347	0.974129	0.3873599
290	-8086.608	-7695.307	-391.3003	2.4182	0.273435	0.6376673	0.6611871	13	4.251407	0.2736374	0.338562	0.693203	1.07764	1.8906	1.298854	1.1366	0.208169	0.0576993	0.11364	0.487725	0.366438	0.72837	0.397745	0.688422	0.339028	0.485407	0.0232658	0.964849	0.160394	0.00976495	0.521473	0.685672	0.381947	0.628254	0.478338	0.363574	0.298114	0.0268347	0.974129	0.5090541
300	-8036.977	-7648.206	-388.7709	2.11089	0.262779	0.6387398	0.6591023	13	4.3678	0.3351639	0.306162	0.66631	1.07253	1.955	1.297842	1.1366	0.208801	0.0576993	0.169057	0.574027	0.239902	0.691776	0.384162	0.576223	0.313087	0.485407	0.0232658	0.964849	0.160394	0.00976495	0.521473	0.687493	0.363103	0.628254	0.478338	0.363574	0.298114	0.0268347	0.974129	0.5078447
310	-8007.735	-7623.26	-384.4746	2.197245	0.2760213	0.7506581	0.3881108	14	3.948553	0.2632858	0.315735	0.674473	1.07422	1.93557	1.138769	1.1366	0.208801	0.079995	0.268004	0.501154	0.375605	0.577563	0.384162	0.576223	0.448928	0.485407	0.0232658	0.964849	0.160394	0.00976495	0.532292	0.687493	0.363103	0.628254	0.377662	0.436922	0.234581	0.0268347	0.974129	0.3408161
320	-8004.828	-7620.394	-384.4342	2.726287	0.2778556	0.5494299	0.4876431	13	4.383276	0.3038027	0.366912	0.715151	1.08078	1.83715	1.037073	1.04931	0.208801	0.127491	0.539468	0.501154	0.375605	0.577563	0.384162	0.882534	0.448928	0.485407	0.0742199	0.964849	0.160394	0.00976495	0.532292	0.687493	0.363103	0.570991	0.377662	0.505691	0.219892	0.0823387	1.07899	0.470211
330	-7977.793	-7591.536	-386.2576	2.638783	0.2536495	0.8321372	0.3370566	13	4.828069	0.2834969	0.359232	0.70934	1.08004	1.85139	1.169194	1.05277	0.223717	0.127491	0.701804	0.478288	0.316394	0.577563	0.245564	0.882534	0.448928	0.485407	0.0212763	0.964849	0.160394	0.0209592	0.56893	0.687493	0.363103	0.570991	0.411052	0.505691	0.219892	0.0369788	0.961925	0.2882812
340	-7921.736	-7535.294	-386.4422	2.351314	0.262968	0.6824182	0.6595129	13	4.909669	0.3815956	0.331891	0.687832	1.07672	1.90355	1.341931	1.09666	0.223717	0.127491	0.759284	0.478288	0.190226	0.627727	0.245564	0.882534	0.448928	0.485407	0.0813003	0.964849	0.277873	0.0209592	0.621133	0.687493	0.359957	0.595137	0.506313	0.236926	0.197906	0.0541296	0.961925	0.4914655
350	-7909.668	-7521.056	-388.6126	2.062127	0.23447	0.8018477	0.6552111	12	4.323042	0.3361979	0.30058	0.661462	1.07147	1.96649	1.457059	1.09666	0.223717	0.127491	0.752264	0.478288	0.104313	0.627727	0.423029	0.770036	0.448928	0.472628	0.0813003	0.964849	0.105377	0.0209592	0.621133	0.685369	0.359957	0.595137	0.506313	0.156222	0.197906	0.0390988	0.961925	0.4496806
360	-7912.57	-7521.808	-390.7621	2.028785	0.2440076	1.078176	0.4155912	13	4.502966	0.2875027	0.296687	0.65804	1.07069	1.97458	1.493767	1.05168	0.223717	0.127491	0.752264	0.478288	0.460939	0.627727	0.441274	0.770036	0.746258	0.472628	0.0646502	1.02827	0.105377	0.0209592	0.621133	0.69151	0.359957	0.29683	0.470773	0.388899	0.199803	0.0390988	0.961925	0.2782169
370	-7817.179	-7428.404	-388.7748	2.374459	0.218876	0.7511341	0.4300385	13	4.584979	0.3390799	0.334222	0.689718	1.07705	1.89901	1.181173	1.05168	0.229358	0.127491	0.752264	0.602675	0.460939	0.627727	0.508248	0.770036	0.746258	0.472628	0.0354097	1.02827	0.300006	0.0209592	0.621133	0.613443	0.383491	0.29683	0.470773	0.388899	0.199803	0.0390988	0.985819	0.3640776
