Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	turnover
1100	-1162.068	-1038.041	-124.027	2.366746	0.1136618	0.6417733	0.1481179	1	4.939242	0.09339536	0.333448	0.689093	1.07694	1.90052	0.7898912	1.21185	0.900422	2.02819	0.1875168
1110	-1169.618	-1049.253	-120.3653	2.781006	0.1177556	0.6563939	0.08903939	2	3.815496	0.1459487	0.371577	0.718634	1.0812	1.82859	0.7454333	0.546168	2.1309	2.20419	0.1194465
1120	-1175.459	-1052.292	-123.1671	2.661885	0.1157061	0.5452435	0.08975011	2	4.532846	0.2022913	0.361287	0.710904	1.08025	1.84756	0.6349936	0.405857	2.45485	1.66946	0.1413402
1130	-1162.972	-1042.542	-120.4304	3.406389	0.1216451	0.6190461	0.04352547	2	4.179457	0.1296967	0.418447	0.751806	1.0839	1.74585	0.6625716	0.223244	2.52614	1.9105	0.06569173
1140	-1167.977	-1045.642	-122.3356	3.295607	0.1145832	0.4937251	0.02594289	2	4.992726	0.09586821	0.410912	0.746684	1.08363	1.75877	0.519668	0.297302	2.99771	1.83019	0.04992205
1150	-1167.32	-1049.159	-118.1619	2.203836	0.1284102	0.8238868	0.02000436	2	4.319519	0.04613685	0.31645	0.675075	1.07434	1.93413	0.8438911	0.730405	3.37853	1.62871	0.02370491
1160	-1173	-1056.126	-116.8738	3.470795	0.1374573	0.7829269	0.04143155	2	4.18181	0.04779987	0.422695	0.75466	1.08402	1.73862	0.8243585	0.859868	3.35125	1.94084	0.05025914
1170	-1155.487	-1037.533	-117.9547	2.175396	0.1221815	0.5467275	0.0486948	2	3.920046	0.04206575	0.31335	0.672457	1.07382	1.94038	0.5954223	0.355769	2.64409	1.61909	0.08178196
1180	-1164.413	-1042.859	-121.5535	2.697052	0.1012013	0.7169211	0.04040761	2	4.301161	0.05958203	0.364377	0.713244	1.08055	1.84183	0.7573287	0.274281	3.33791	2.31223	0.05335544
1190	-1167.592	-1043.325	-124.2664	2.229427	0.117267	0.6477258	0.1357785	1	4.842571	0.06301908	0.319205	0.677385	1.0748	1.92861	0.7835044	0.476979	1.8791	2.12903	0.1732965
1200	-1166.192	-1044.427	-121.765	2.367324	0.1005947	0.635943	0.03851146	2	4.445209	0.07081241	0.333506	0.68914	1.07695	1.9004	0.6744545	0.920272	3.03308	2.59399	0.05710016
1210	-1172.304	-1047.493	-124.811	2.218043	0.09484816	0.5585103	0.09133985	1	4.523245	0.06126481	0.317984	0.676363	1.0746	1.93106	0.6498502	0.691026	2.0192	2.08946	0.1405553
1220	-1169.861	-1047.247	-122.6143	1.880561	0.09443395	0.6887609	0.1356962	2	4.93346	0.09822037	0.278588	0.64168	1.06669	2.01304	0.8244571	0.639883	2.18714	2.20237	0.1645885
1230	-1174.296	-1052.354	-121.9417	1.864603	0.1056299	0.3622996	0.2260933	2	4.812588	0.09670377	0.276558	0.639798	1.0662	2.01744	0.5883929	0.760419	2.57846	2.86603	0.3842556
1240	-1171.827	-1046.043	-125.7841	2.467587	0.09644197	0.5585391	0.2431514	1	4.638534	0.1391203	0.343362	0.697017	1.07825	1.88137	0.8016905	0.324601	0.422222	1.60261	0.3032983
1250	-1163.955	-1041.67	-122.2847	2.256735	0.1109559	0.6317237	0.1297744	1	4.495929	0.1047675	0.322109	0.679804	1.07526	1.92283	0.7614981	0.862105	0.725324	1.38928	0.1704199
1260	-1174.023	-1049.099	-124.9243	2.672884	0.1123441	0.7329167	0.09932342	1	4.787356	0.1647685	0.362258	0.711641	1.08034	1.84576	0.8322401	1.04728	0.59511	2.06865	0.1193447
1270	-1164.798	-1038.702	-126.0959	1.702106	0.1146177	0.9508989	0.03917693	1	3.746743	0.1706988	0.254924	0.619071	1.06037	2.06563	0.9900758	0.897593	0.853737	2.16672	0.03956963
1280	-1172.55	-1046.755	-125.7955	3.53006	0.10109	0.6650954	0.0617439	1	4.775474	0.1641544	0.426522	0.757211	1.08412	1.73215	0.7268393	0.430606	1.17181	1.33806	0.08494849
1290	-1175.791	-1048.873	-126.9176	2.875935	0.1010687	0.6774332	0.2584079	1	4.580924	0.09384944	0.37943	0.724419	1.08183	1.81432	0.9358411	0.562221	1.48047	2.59096	0.2761237
1300	-1169.838	-1044.894	-124.9439	2.686029	0.09110549	0.5654574	0.1337288	1	3.63588	0.1095258	0.363413	0.712516	1.08046	1.84362	0.6991861	0.161527	2.36037	1.97883	0.1912635
1310	-1167.23	-1044.615	-122.6145	2.998649	0.106421	0.5696707	0.1628665	1	4.167151	0.06929794	0.389157	0.731453	1.08251	1.79688	0.7325372	0.488559	1.58218	1.83714	0.222332
