Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	turnover
620	-3181.774	-2923.741	-258.0328	0.414925	0.2062997	0.6516941	0.4241867	14	4.658866	0.3128563	0.0189252	0.192814	0.746939	3.04132	1.075881	1.00909	0.578002	0.83155	0.587919	0.113212	0.448498	2.15652	0.915958	1.76069	2.01424	0.824793	0.798421	4.03766	0.0613191	0.139926	2.43177	0.3942693
630	-3182.762	-2928.752	-254.0097	0.4576715	0.2139839	0.9008462	0.0723425	15	4.925425	0.3033599	0.025837	0.223387	0.786846	2.96393	0.9731887	1.00909	0.416386	0.83155	0.587919	0.193572	0.448498	2.17573	0.685043	1.83068	1.83353	0.866426	1.10734	4.47644	0.0613191	0.11867	2.16589	0.07433553
640	-3189.884	-2936.201	-253.6834	0.4192706	0.1730244	0.6104728	0.08781467	15	4.409659	0.3537808	0.0195899	0.195999	0.751319	3.03309	0.6982875	1.00909	0.452749	0.83155	0.587919	0.193572	0.448498	2.2242	0.704781	1.83068	1.83353	0.866426	1.10734	4.12416	0.0613191	0.11867	2.16589	0.1257572
650	-3185.154	-2929.287	-255.8675	0.4546792	0.1883061	0.6446641	0.04125783	15	4.970742	0.3121729	0.0253278	0.221303	0.784269	2.9691	0.685922	0.856725	0.452749	0.83155	0.587919	0.0539537	0.594874	2.14192	0.704781	1.83068	1.90338	0.605425	1.20812	4.10951	0.0613191	0.159939	2.16589	0.06014945
660	-3200.197	-2943.185	-257.0124	0.3894721	0.201922	0.4259882	0.08298811	15	4.394265	0.2274003	0.0152253	0.173849	0.719632	3.09129	0.5089763	0.856725	0.351984	0.83155	0.56999	0.0539537	0.637432	2.13782	0.704781	1.83068	1.613	0.605425	1.20812	4.17898	0.0613191	0.335143	2.18867	0.1630491
670	-3184.731	-2932.349	-252.3815	0.4475264	0.1587316	0.7361313	0.1128962	15	4.475776	0.3225691	0.0241251	0.216287	0.777985	2.9816	0.8490274	0.799302	0.338692	0.83155	0.573552	0.0539537	0.601801	2.13782	0.671154	1.83068	1.65274	0.68433	0.962194	4.20476	0.0443111	0.175061	2.25347	0.1329712
680	-3186.994	-2931.225	-255.7684	0.4461418	0.2042288	0.7919009	0.3066875	14	4.512126	0.1893424	0.0238947	0.21531	0.776747	2.98405	1.098588	0.845732	0.309809	0.83155	0.626005	0.101077	0.601801	2.05015	0.671154	1.90666	1.94751	0.713714	1.0624	4.20476	0.0443111	0.175061	2.57472	0.279165
690	-3166.002	-2913.311	-252.6906	0.4157896	0.226968	0.6472131	0.439475	13	4.836341	0.2491712	0.0190567	0.193449	0.747816	3.03968	1.086688	0.845732	0.309809	0.650679	0.626005	0.101077	0.412562	1.9854	0.671154	1.80888	1.83342	0.713714	0.411236	4.03672	0.0443111	0.239538	2.57472	0.4044169
700	-3166.85	-2916.669	-250.1809	0.4562541	0.1944198	0.6401401	0.2007202	13	4.226743	0.3215133	0.0255954	0.222401	0.785629	2.96637	0.8408603	0.840199	0.364147	0.650679	0.626005	0.101077	0.392203	2.03519	0.671154	1.73733	1.83342	0.546463	0.162818	3.89769	0.0443111	0.172507	2.57472	0.2387081
710	-3168.537	-2920.327	-248.2097	0.4019739	0.2751828	0.8702562	0.2891435	13	4.14918	0.2803091	0.0170002	0.183229	0.733408	3.06636	1.1594	0.840199	0.242793	0.611487	0.626005	0.0188437	0.392203	2.20543	0.671154	2.08807	1.83342	0.443363	0.364822	3.8714	0.0443111	0.0972439	2.57472	0.2493907
