Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
310	-1822.611	-1607.715	-214.897	0.2615051	0.09966759	0.631106	0.03082221	9	4.930441	0.1690953	0.00269188	0.0751154	0.525128	3.39706	0.6619282	0.241446	1.01638	1.46197	0.654058	1.38136	0.421978	1.04895	1.96199	0.705687	2.1962	0.04656428
320	-1798.75	-1582.95	-215.7995	0.2155265	0.1011107	0.7062367	0.01840648	9	4.807407	0.114422	0.000873447	0.0431854	0.422954	3.53299	0.7246432	0.298871	1.19769	1.46197	0.552582	0.521842	0.521229	1.04895	1.96199	0.774353	2.45426	0.02540075
330	-1792.546	-1570.421	-222.1242	0.2531731	0.08764491	0.5844636	0.01638176	9	4.903112	0.06036715	0.00226295	0.0689909	0.50813	3.42062	0.6008454	0.0396516	0.750313	1.1416	0.652759	0.99978	0.488095	0.840254	1.96199	0.774353	2.36996	0.02726452
340	-1806.369	-1585.447	-220.9226	0.2908201	0.09590577	0.5740129	0.07651562	9	4.929082	0.09804359	0.00458025	0.0973754	0.580059	3.31799	0.6505285	0.118488	1.02501	0.903993	0.652759	1.20423	0.748112	0.905	2.12808	0.774353	2.37132	0.1176207
350	-1790.858	-1569.153	-221.7045	0.2482985	0.08541374	0.9087461	0.06816745	9	4.617219	0.2093253	0.0020334	0.0654639	0.497884	3.43462	0.9769135	0.0668688	1.02501	1.06993	0.5037	1.63191	0.820658	0.544272	2.12808	0.774353	2.37132	0.06977839
360	-1796.625	-1575.462	-221.1627	0.2578351	0.06941792	0.5613002	0.08032484	9	4.938199	0.1103277	0.0024972	0.0724038	0.51772	3.40738	0.641625	0.0295733	1.14732	1.00742	0.514728	1.91157	0.654676	0.639185	2.11476	0.774353	2.61459	0.1251897
370	-1792.559	-1578.104	-214.4549	0.2094626	0.09301207	0.9193771	0.00660501	10	4.631596	0.1471561	0.000725615	0.0394066	0.4079	3.55197	0.9259821	0.256296	1.05359	0.974216	0.514728	1.52131	0.587811	0.640977	1.92034	0.683012	2.61459	0.007132978
380	-1790.523	-1578.164	-212.3589	0.2352427	0.09661193	0.6667348	0.004725234	10	4.782369	0.1663687	0.00149385	0.0562593	0.469314	3.47293	0.67146	0.404045	1.37634	0.95955	0.717308	1.539	0.543332	0.70716	1.92034	0.716127	2.45137	0.007037253
390	-1778.087	-1564.609	-213.4775	0.220106	0.07402768	0.7952171	0.00156578	10	4.842232	0.2027258	0.000997939	0.0461199	0.434074	3.51881	0.7967829	0.436786	1.37634	0.95955	0.896578	1.25936	0.508552	0.494216	1.92034	0.735796	2.18114	0.001965128
400	-1786.082	-1574.275	-211.8072	0.2726876	0.08133509	0.6926127	0.001242375	10	4.612633	0.1410779	0.00334174	0.0834961	0.546954	3.36621	0.6938551	0.530118	1.4054	0.959409	0.819981	1.11044	0.563719	0.652471	1.85773	0.915449	2.14675	0.00179054
410	-1776.588	-1564.815	-211.773	0.2344543	0.09400338	0.6867218	0.001358061	10	4.425541	0.282013	0.00146467	0.055716	0.467536	3.47528	0.6880799	0.565288	1.30097	0.959409	0.977218	1.56369	0.494644	0.652471	1.74925	0.974042	2.16015	0.001973696
420	-1782.629	-1570.567	-212.0622	0.2644619	0.0851901	0.8758629	0.0005200354	10	4.443313	0.2837543	0.00285537	0.077315	0.531008	3.38882	0.8763829	0.556885	1.15941	0.952463	0.917407	1.56369	0.470563	0.791872	1.74925	0.880672	2.1863	0.0005933883
430	-1786.117	-1574.52	-211.5977	0.2453872	0.09249914	0.5574631	0.0005903867	10	4.68227	0.2333741	0.0019037	0.0633795	0.491656	3.44306	0.5580535	0.534019	0.761548	1.03533	1.0125	1.37427	0.411943	0.353719	1.95122	0.880672	2.29645	0.001057939
440	-1782.152	-1574.42	-207.7318	0.1990403	0.09987952	0.8791346	0.0009891429	10	4.76662	0.2133805	0.000513806	0.0332237	0.381149	3.58511	0.8801238	0.429091	1.44813	0.971299	0.990121	1.55638	0.461687	0.314321	2.00135	0.880672	2.12238	0.001123868
450	-1783.178	-1576.704	-206.4736	0.2069217	0.1078756	0.7803356	0.000559631	10	4.67002	0.1402144	0.000669199	0.0378616	0.40148	3.55999	0.7808952	0.397325	1.44813	1.22622	0.941215	1.71682	0.308154	0.753325	2.09262	0.880672	2.03324	0.0007166531
460	-1784.499	-1576.863	-207.6359	0.2161852	0.1155613	0.778204	0.000237933	10	4.821389	0.1188317	0.000890659	0.0436033	0.424567	3.53094	0.7784419	0.329216	1.44813	1.34166	0.913107	1.69723	0.378561	0.693974	2.16576	0.880672	2.03324	0.0003056528
